model,na,nb,nk,alpha,physical_memory_seconds,input_delay_seconds,input_memory_seconds,n_params,val_FIT_1step,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
ARX_na24_nb6_nk3_alpha0.01,24,6,3,0.01,480,60,120,127,97.50452541122425,79.4251716296967,"[68.93332208773259, 66.31993302543356, 82.56744133772176, 88.72526870937523]",76.63649129006578,9.315107328269525,71.97893762593101
ARX_na12_nb6_nk3_alpha0.1,12,6,3,0.1,240,60,120,115,97.50297784177003,79.92326742227611,"[70.83391663727082, 64.85140543361445, 82.33740687627099, 88.32291792160815]",76.5864117171911,9.241497380378503,71.96566302700185
ARX_na24_nb6_nk3_alpha0.1,24,6,3,0.1,480,60,120,127,97.50453194534772,79.38568302600952,"[68.80853497163818, 66.31000055023262, 82.55359514282028, 88.7190381059969]",76.59779219267199,9.339531254377327,71.92802656548332
ARX_na18_nb9_nk3_alpha1,18,9,3,1.0,360,60,180,172,97.53070273840646,79.07247971231585,"[68.04586973416717, 67.29099970252632, 81.9336698904494, 88.78040617811783]",76.51273637631519,9.17347399499428,71.92599937881805
ARX_na18_nb6_nk2_alpha1,18,6,2,1.0,360,40,120,121,97.49639113804345,79.27485318202,"[67.81122201054663, 66.71181134119578, 82.45905152235447, 89.74836772912748]",76.68261315080609,9.774963586264978,71.7951313576736
ARX_na12_nb6_nk2_alpha1,12,6,2,1.0,240,40,120,115,97.49524989376593,79.69337624462676,"[69.22601854692654, 65.29274633466483, 82.61414137539217, 89.1936131636164]",76.58162985514998,9.708208216139013,71.72752574708048
ARX_na24_nb3_nk2_alpha1,24,3,2,1.0,480,40,60,76,97.38697447300784,79.47449594538423,"[71.49706367716367, 64.65994775387574, 81.83593231042975, 84.59017616198068]",75.64577997586247,8.003445595431472,71.64405717814674
ARX_na24_nb9_nk3_alpha0.01,24,9,3,0.01,480,60,180,178,97.53273616825395,78.7559286592575,"[66.94051571986002, 67.18957625115719, 82.15279827714103, 89.16805923735559]",76.36273737137846,9.623229956355535,71.55112239320069
ARX_na24_nb9_nk3_alpha0.1,24,9,3,0.1,480,60,180,178,97.5328199984454,78.75068462613868,"[66.92279197310829, 67.19844681239458, 82.14778344920909, 89.1540270267336]",76.35576231536139,9.620036968951789,71.5457438308855
ARX_na24_nb6_nk3_alpha1,24,6,3,1.0,480,60,120,127,97.50322641396913,79.04390832181339,"[67.7515377266275, 66.21415234623255, 82.42468831820375, 88.62892817572894]",76.25482664169819,9.543409303840305,71.48312198977804
ARX_na12_nb6_nk3_alpha1,12,6,3,1.0,240,60,120,115,97.5017700769094,79.5757386718145,"[69.68417995984765, 64.63389842722884, 82.26926268310788, 88.24086585834031]",76.20705173213118,9.461088965001828,71.47650724963026
ARX_na24_nb9_nk3_alpha1,24,9,3,1.0,480,60,180,178,97.53197667002132,78.59154231798449,"[66.453341441153, 67.2010447915944, 82.05706772520533, 89.04182053722135]",76.18831862379352,9.684983210301368,71.34582701864284
ARX_na12_nb3_nk2_alpha0.01,12,3,2,0.01,240,40,60,64,97.38827139533028,80.17231811729545,"[77.66719648604395, 59.90435029317148, 81.57429176593172, 84.38499681333323]",75.8827088396201,9.528580101386247,71.11841878892697
ARX_na12_nb6_nk1_alpha1,12,6,1,1.0,240,20,120,115,97.46891227764104,78.97858305244812,"[67.58689170191815, 65.64375544846952, 81.91845695919513, 88.35533942547858]",75.87611088376534,9.561032155192548,71.09559480616906
ARX_na24_nb6_nk2_alpha0.01,24,6,2,0.01,480,40,120,127,97.4987462893983,78.93036155781704,"[66.91193321161609, 65.85003740650379, 82.11808775017677, 89.66357078071903]",76.13590728725393,10.120091151209632,71.07586171164911
ARX_na12_nb3_nk2_alpha0.1,12,3,2,0.1,240,40,60,64,97.38807154232273,80.14656420122901,"[77.64242906983948, 59.746758441077596, 81.59071475651307, 84.32380254927119]",75.82592620417533,9.582353678044235,71.03474936515322
ARX_na24_nb6_nk2_alpha0.1,24,6,2,0.1,480,40,120,127,97.49869013337646,78.87667227862855,"[66.76307268110196, 65.81055003368819, 82.10255733873295, 89.66123689181673]",76.08435423633495,10.161051297093769,71.00382858778806
ARX_na18_nb6_nk1_alpha1,18,6,1,1.0,360,20,120,121,97.47046616236624,78.29582976433821,"[65.2895511561169, 67.4487608670416, 81.73026932049108, 89.21684732425436]",75.92135716697598,9.941500214300438,70.95060705982576
ARX_na6_nb3_nk3_alpha0.1,6,3,3,0.1,120,60,60,58,97.36992460560133,81.2949316406101,"[76.50768440709791, 59.22899349088797, 84.0550167236932, 83.73690902808715]",75.88215091244156,10.07734966253539,70.84347608117386
ARX_na6_nb3_nk3_alpha0.01,6,3,3,0.01,120,60,60,58,97.37009480151337,81.29042163753863,"[76.54554935753023, 59.127077069826115, 84.05544178301992, 83.84080628020169]",75.89221862264449,10.140452041836499,70.82199260172624
ARX_na24_nb6_nk2_alpha1,24,6,2,1.0,480,40,120,127,97.49698752645814,78.6626036317125,"[66.12718031222448, 65.7633953788155, 82.02134444022123, 89.60947865522158]",75.8803496966207,10.291718468167785,70.73449046253681
ARX_na18_nb9_nk2_alpha0.01,18,9,2,0.01,360,40,180,172,97.54277691216924,77.8917940265495,"[64.3234561519762, 68.03862769091961, 81.20286313894347, 89.69193850196632]",75.8142213709514,10.175043430703061,70.72669965559987
ARX_na18_nb9_nk2_alpha0.1,18,9,2,0.1,360,40,180,172,97.54282569278432,77.8536157087373,"[64.22249061758859, 68.01677407650973, 81.18755667473185, 89.68840619970264]",75.7788068921332,10.204522604904374,70.67654558968101
ARX_na6_nb3_nk3_alpha1,6,3,3,1.0,120,60,60,58,97.36721818104431,81.04834616007524,"[75.31693921607089, 59.85967677466765, 83.91369238646969, 82.82329676643225]",75.47840128591011,9.60562661840779,70.67558797670621
ARX_na12_nb6_nk1_alpha0.1,12,6,1,0.1,240,20,120,115,97.4705704329381,78.44125067687109,"[65.96967597980394, 65.66353519168207, 81.74149838512716, 88.50389719296466]",75.46965168739446,9.945313922541988,70.49699472612346
ARX_na12_nb9_nk3_alpha0.01,12,9,3,0.01,240,60,180,166,97.52975007789495,78.39961331837058,"[65.60184042871498, 65.685147355974, 82.03947828662417, 89.25295751252865]",75.64485589596045,10.321453131740158,70.48412933009037
ARX_na12_nb9_nk3_alpha0.1,12,9,3,0.1,240,60,180,166,97.52985050749542,78.39040259288443,"[65.57030284235101, 65.68745469630397, 82.03577893956935, 89.23986865003963]",75.63335128206599,10.32368874953685,70.47150690729757
ARX_na12_nb6_nk1_alpha0.01,12,6,1,0.01,240,20,120,115,97.47061708622205,78.34520280749591,"[65.68911738241529, 65.64999978131951, 81.71146030828812, 88.51850240750699]",75.39226996988248,10.016151245640453,70.38419434706225
ARX_na18_nb9_nk2_alpha1,18,9,2,1.0,360,40,180,172,97.54180269517849,77.56165934048468,"[63.44155771896156, 67.88131365422855, 81.06063556808493, 89.62891377221432]",75.50310517837234,10.416300274276463,70.2949550412341
ARX_na12_nb9_nk3_alpha1,12,9,3,1.0,240,60,180,166,97.52915811442949,78.18452106720548,"[64.95729968489091, 65.64748647094325, 81.95440770814731, 89.13730520646199]",75.42412476761086,10.438306815859479,70.20497135968112
ARX_na12_nb3_nk2_alpha1,12,3,2,1.0,240,40,60,64,97.38516053035366,79.81622482481734,"[77.12721423348678, 58.25775335004646, 81.66976018918804, 83.72136848868352]",75.1940240653512,10.065103715659955,70.16147220752123
ARX_na18_nb6_nk1_alpha0.1,18,6,1,0.1,360,20,120,121,97.47209159537225,77.6399464217157,"[63.509439094166794, 67.0502228816677, 81.5487269302551, 89.47706844749126]",75.39636433839522,10.572072439299827,70.1103281187453
ARX_na18_nb6_nk1_alpha0.01,18,6,1,0.01,360,20,120,121,97.4721330560935,77.52725677935635,"[63.20755508383114, 66.98679320101829, 81.51686769226842, 89.50436894795017]",75.303896231267,10.674152328445143,69.96682006704444
ARX_na24_nb9_nk2_alpha0.01,24,9,2,0.01,480,40,180,178,97.54386032678786,77.26231726910837,"[62.72945733852906, 67.4410581825546, 81.02930196956481, 89.87940189629808]",75.26980484673663,10.783804094763704,69.87790279935479
