rank,na,nb,nk,order,n_params,rank_x_train,sigma2_train,val_FIT_1step,val_FIT_12step,val_FIT_sim,val_RMSE_sim,test_FIT_1step,test_FIT_12step,test_FIT_sim,test_RMSE_sim,test_Bias_sim
75,1,2,5,"(1,2,5)",34,32,0.10988192209496465,62.71998848841033,-22.10605842256619,8.070262209590673,2.760043979151528,62.196651968780856,-31.784347762883193,1.2275990467281006,2.8771798815201284,-0.2545435886968804
76,1,1,5,"(1,1,5)",18,17,0.12052964261512752,60.909002825422284,-3.096043273436533,7.143467040744412,2.7878341987941186,60.63973737471762,-9.62410039846715,2.482315925576639,2.840564613522432,-0.07496102472874801
77,3,1,5,"(3,1,5)",20,19,0.036328484080616806,78.73205524451645,8.2899512679681,4.686877482517183,2.8615884534983245,78.00795246918639,2.7300459508134534,-0.24988029870227635,2.9201499726862457,-0.05462240065694936
78,1,3,5,"(1,3,5)",50,47,0.10809416046774652,63.03596185256007,-32.46184438528119,4.54323753059207,2.8659556348392954,62.426854782898204,-41.65922911985389,-2.8972371411830844,2.997395951258593,-0.6908655568118066
79,3,2,5,"(3,2,5)",36,34,0.03596922717563568,78.85771123353095,6.986076560255494,4.107280032020844,2.8790262079883373,78.08693253363882,2.013776913934817,0.18689878610869126,2.907494846263807,-0.04374608533986923
80,2,2,5,"(2,2,5)",35,33,0.036587281342289286,78.70100999474134,4.601937705283166,-1.052427923261412,3.033938222516489,77.86997636965364,-0.9732153240637365,-5.5449422993972375,3.0744598860535164,-0.04415900126913813
81,2,1,5,"(2,1,5)",19,18,0.03704285872640543,78.54594148709512,6.034124528702378,-2.334811325272068,3.0724008063592065,77.7634219073618,-0.1480880550661201,-7.56968835737859,3.133366559468434,-0.055010272429560164
82,5,2,5,"(5,2,5)",38,36,0.03569323368800424,78.9566312120919,1.6731287494458291,-5.119345713662704,3.1560409526112148,78.15664687959958,-3.458791839707631,-9.16209734877338,3.179825409579947,-0.04382262350529316
83,2,1,4,"(2,1,4)",19,18,0.03708607990772595,78.5327272365781,2.623162924917055,-5.550410794942651,3.1688895592684427,77.7730516158317,-3.3182575394884672,-10.47037540695519,3.2177839716241006,-0.030773510284304233
84,2,3,4,"(2,3,4)",51,48,0.03652279240740802,78.70816178055755,1.9790665884864889,-5.617258438459505,3.1709899892477775,77.89920861594697,-3.571174172838587,-10.132079934802407,3.208080411534064,-0.020498800523526973
85,2,2,4,"(2,2,4)",35,33,0.036950352510042854,78.56280221917824,2.4851075349557106,-8.893235559849355,3.269304554417272,77.8075012041426,-3.718157074155326,-14.024097722967287,3.3213751962515508,-0.03342268948281787
86,3,5,5,"(3,5,5)",84,79,0.03278633251251886,79.88387402794991,-0.4100756823904206,-12.570600310256562,3.37983639168603,78.93456731665724,-4.532417760370411,-13.689649294816997,3.311874758472351,-0.01806553572823611
87,4,1,5,"(4,1,5)",21,20,0.036156723590632725,78.78953740851111,2.600254936593527,-17.65807161917774,3.532451464325499,78.04671092266811,-4.0158694405633355,-22.77305973664785,3.57622119815359,-0.05706155364575126
