dataset,model,na,nb,nk,alpha,n_params,val_FIT_1step,val_FIT_sim,val_robust_score,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_block_FIT_sim
new_identifiable_data,ARX_na3_nb3_nk1_alpha0.01,3,3,1,0.01,52,97.01173421926222,87.1030073020457,81.7482717254746,83.17669584058982,2.856848230230451,"[79.98929852371023, 85.08213233642489, 86.8205436785575, 80.81480882366664]"
new_identifiable_data,ARX_na3_nb3_nk1_alpha0.001,3,3,1,0.001,52,97.0117315192945,87.1030568208959,81.74826608807804,83.17674396393139,2.8569557517066793,"[79.98925998711306, 85.0823655538806, 86.8206529572215, 80.81469735751043]"
new_identifiable_data,ARX_na3_nb3_nk1_alpha0,3,3,1,0.0,52,97.01172976114236,87.10305852051175,81.74825901147004,83.17674477791752,2.8569715328949576,"[79.98924193594003, 85.08239403965841, 86.82066154322037, 80.81468159285127]"
new_identifiable_data,ARX_na5_nb3_nk1_alpha0.01,5,3,1,0.01,54,97.01171032895759,87.10055126008943,81.74732455769801,83.17868527166313,2.8627214279302504,"[79.99520282221799, 85.07259871627997, 86.84238788699383, 80.80455166116069]"
new_identifiable_data,ARX_na5_nb3_nk1_alpha0.001,5,3,1,0.001,54,97.01170783813403,87.10054712130066,81.74725660590609,83.17867192584698,2.8628306398817793,"[79.99507292004576, 85.07274044454606, 86.84245641981161, 80.8044179189845]"
new_identifiable_data,ARX_na5_nb3_nk1_alpha0,5,3,1,0.0,54,97.01170611224637,87.10054228878545,81.74724202327849,83.17866526090842,2.8628464752598624,"[79.99504389284668, 85.07275772560736, 86.84245986210131, 80.80439956307835]"
new_identifiable_data,ARX_na3_nb3_nk1_alpha0.1,3,3,1,0.1,52,97.0117373751099,87.1017811555903,81.74707800783789,83.17531956179718,2.8564831079185904,"[79.98763289373684, 85.07966108253125, 86.8192107049846, 80.81477356593606]"
new_identifiable_data,ARX_na5_nb3_nk1_alpha0.1,5,3,1,0.1,54,97.0117129790137,87.09974158642086,81.74662994201294,83.17778593535478,2.862311986683661,"[79.99427219315905, 85.07082895853206, 86.84132302462699, 80.80471956510098]"
new_identifiable_data,ARX_na12_nb1_nk2_alpha0,12,1,2,0.0,29,96.88441519338535,86.82871728269335,81.36706383605454,82.84730189539607,2.9604761186830655,"[79.58230827412886, 84.64371939825985, 86.75113395160176, 80.41204595759385]"
new_identifiable_data,ARX_na12_nb1_nk2_alpha0.001,12,1,2,0.001,29,96.88441368563062,86.82871256709993,81.36705168707627,82.84729862105192,2.9604938679512878,"[79.58227311143561, 84.64372465774792, 86.75115396350901, 80.41204275151513]"
new_identifiable_data,ARX_na12_nb1_nk2_alpha0.01,12,1,2,0.01,29,96.88439984714765,86.82867007992996,81.36694232825194,82.84726906784523,2.960653479186594,"[79.58195687368955, 84.64377181103056, 86.75133384308927, 80.41201374357156]"
