dataset,model,na,nb,nk,alpha,n_params,val_FIT_1step,val_FIT_sim,val_robust_score,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_block_FIT_sim
old_feedback_data,ARX_na3_nb5_nk2_alpha0.1,3,5,2,0.1,84,86.3767694555153,68.51779822765084,66.03005249647971,66.51440737510163,0.9687097572438396,"[66.0183908988807, 68.17279425659544, 66.1354132976378, 65.73103104729256]"
old_feedback_data,ARX_na3_nb5_nk2_alpha0.01,3,5,2,0.01,84,86.37648947464788,68.51695739707706,66.02903760483673,66.51351573747273,0.9689562652720035,"[66.01706154439387, 68.17220549746048, 66.13536437221558, 65.729431535821]"
old_feedback_data,ARX_na3_nb5_nk2_alpha0.001,3,5,2,0.001,84,86.3764537117369,68.51688833959972,66.02895056526013,66.51344274839964,0.9689843662790159,"[66.01692684296745, 68.17216429887883, 66.13541208215534, 65.72926776959692]"
old_feedback_data,ARX_na3_nb5_nk2_alpha0,3,5,2,0.0,84,86.37644962512998,68.51688087994407,66.02894109889212,66.51343486815995,0.9689875385356488,"[66.0169118521539, 68.17215997438124, 66.13541812410304, 65.72924952200158]"
old_feedback_data,ARX_na5_nb2_nk2_alpha0.1,5,2,2,0.1,38,86.10267565351883,68.32467027084911,65.78072953540094,66.29182624265961,1.0221934145173504,"[65.79875364681449, 68.03323615382862, 65.91737283966228, 65.41794233033306]"
old_feedback_data,ARX_na5_nb2_nk2_alpha0.01,5,2,2,0.01,38,86.10260144842232,68.32467479815695,65.7803971717456,66.29183690825164,1.0228794730120734,"[65.79752486491574, 68.03409478453955, 65.91949701879372, 65.41623096475757]"
old_feedback_data,ARX_na5_nb2_nk2_alpha0.001,5,2,2,0.001,38,86.10259068830212,68.32469601468776,65.78038168040189,66.29186020232103,1.0229570438382973,"[65.79740274404604, 68.03421282924961, 65.91976815552552, 65.41605708046293]"
old_feedback_data,ARX_na5_nb2_nk2_alpha0,5,2,2,0.0,38,86.1025894452614,68.32469864355868,65.78038018814571,66.29186308105179,1.0229657858121541,"[65.79738918531014, 68.0342263767668, 65.91979903798561, 65.41603772414462]"
old_feedback_data,ARX_na8_nb2_nk2_alpha0.1,8,2,2,0.1,41,86.22751669072281,68.31265887089289,65.75456756164238,66.28434134235577,1.0595475614268108,"[65.74513894658409, 68.09745774448572, 65.87211237550669, 65.42265630284658]"
old_feedback_data,ARX_na8_nb2_nk2_alpha0.01,8,2,2,0.01,41,86.22746491026663,68.31253428194054,65.7541418315526,66.28421922971981,1.0601547963344118,"[65.74391456901529, 68.09809949198905, 65.87395364648363, 65.4209092113913]"
old_feedback_data,ARX_na8_nb2_nk2_alpha0.001,8,2,2,0.001,41,86.22745705553237,68.31254161391435,65.75411612527782,66.28422822208952,1.0602241936234065,"[65.74379283023946, 68.098195130131, 65.87419330152757, 65.42073162646007]"
old_feedback_data,ARX_na8_nb2_nk2_alpha0,8,2,2,0.0,41,86.22745614437248,68.31254268839315,65.75411348760993,66.28422949950351,1.0602320237871714,"[65.74377931327358, 68.09820617971205, 65.87422064771555, 65.42071185731285]"
old_feedback_data,ARX_na12_nb2_nk2_alpha0.1,12,2,2,0.1,45,86.27570942389721,68.2966051436398,65.70038377615319,66.26505685890767,1.1293461655089638,"[65.61183893162618, 68.20793758533608, 65.8054237325423, 65.4350271861261]"
old_feedback_data,ARX_na12_nb2_nk2_alpha0.01,12,2,2,0.01,45,86.27565466969418,68.29647083199572,65.69993561344117,66.2649248626927,1.129978498503045,"[65.61061263916088, 68.20864853651427, 65.80720640744873, 65.4332318676469]"
old_feedback_data,ARX_na12_nb2_nk2_alpha0.001,12,2,2,0.001,45,86.27564624838233,68.29647789927495,65.69990794214803,66.26493362556128,1.1300513668265173,"[65.61049118448953, 68.20875396721821, 65.8074400973441, 65.43304925319329]"
old_feedback_data,ARX_na12_nb2_nk2_alpha0,12,2,2,0.0,45,86.27564527041697,68.29647895378183,65.69990508962314,66.26493488759279,1.1300595959392972,"[65.61047770568251, 68.20876614384619, 65.80746677836686, 65.43302892247559]"
old_feedback_data,ARX_na3_nb1_nk2_alpha0.1,3,1,2,0.1,20,85.6110141995182,68.17698179375947,65.66070547238687,66.12624800385612,0.9310850629385162,"[65.69173753672982, 67.69633313726031, 65.8491030576669, 65.26781828376747]"
old_feedback_data,ARX_na3_nb1_nk2_alpha0.01,3,1,2,0.01,20,85.61101425989277,68.17679126046832,65.66052050561555,66.12604589022179,0.9310507692124633,"[65.6915678967561, 67.69609055850498, 65.8488265868193, 65.26769851880677]"
old_feedback_data,ARX_na3_nb1_nk2_alpha0.001,3,1,2,0.001,20,85.611014261523,68.1767721924023,65.66050199385904,66.12602566324111,0.9310473387641282,"[65.69155091740566, 67.69606628442581, 65.84879891850633, 65.26768653262664]"
old_feedback_data,ARX_na3_nb1_nk2_alpha0,3,1,2,0.0,20,85.61101426165463,68.17677007356254,65.66049993682759,66.12602341562315,0.9310469575911342,"[65.69154903063838, 67.69606358712372, 65.84879584401054, 65.26768520071997]"
