input_set,model,na,nb,nk,alpha,physical_memory_seconds,input_delay_seconds,input_memory_seconds,n_input_cols,n_params,val_FIT_1step,val_FIT_sim,val_block_FIT_sim,val_block_mean_FIT_sim,val_block_std_FIT_sim,val_robust_score
inside_only,ARX_na18_nb6_nk3_alpha10,18,6,3,10.0,360,60,120,19,133,95.52480732303523,80.07981323597474,"[85.20491403053934, 64.62660987045939, 82.56353274600856, 79.70477968924989]",78.02495908406429,7.976339430365583,74.0367893688815
inside_only,ARX_na12_nb6_nk1_alpha1,12,6,1,1.0,240,20,120,19,127,95.47146109294019,80.02467117928911,"[86.69941106943625, 64.52672394144943, 83.73674973343492, 78.09760685140115]",78.26512289893044,8.512455355247083,74.0088952213069
inside_only,ARX_na24_nb6_nk3_alpha0.1,24,6,3,0.1,480,60,120,19,139,95.55167808289927,80.18860329157029,"[86.26580730477316, 64.32145893905283, 82.54587817719867, 79.58552822621697]",78.17966816181041,8.343797719268,74.00776930217641
inside_only,ARX_na24_nb6_nk1_alpha1,24,6,1,1.0,480,20,120,19,139,95.47695267832826,80.13609840721138,"[87.08066979375822, 65.17000598378912, 81.99119514473476, 77.93855119573078]",78.04510552950322,8.108523092447435,73.9908439832795
inside_only,ARX_na18_nb6_nk1_alpha1,18,6,1,1.0,360,20,120,19,133,95.47519336826852,80.0526845661839,"[86.62111819079055, 65.2288941020829, 82.14730409128738, 77.91587373151236]",77.9782975289183,7.978567371105028,73.9890138433658
inside_only,ARX_na24_nb6_nk1_alpha0.1,24,6,1,0.1,480,20,120,19,139,95.47791633091738,80.20776935421304,"[87.55130048539809, 64.90817127866606, 82.24054130689039, 77.81852515247552]",78.1296345558575,8.375130199802094,73.94206945595646
inside_only,ARX_na18_nb6_nk3_alpha1,18,6,3,1.0,360,60,120,19,133,95.54933770781417,80.08316133588191,"[85.65885938178349, 64.2646809463294, 82.66648205614972, 79.6541001338532]",78.06103062952896,8.243396139005409,73.93933256002626
inside_only,ARX_na18_nb6_nk1_alpha0.1,18,6,1,0.1,360,20,120,19,133,95.47614594922234,80.10804504254622,"[87.04004449278774, 64.94537373311732, 82.37997982413086, 77.79148569819299]",78.03922093705722,8.236613681389368,73.92091409636254
inside_only,ARX_na12_nb6_nk3_alpha1,12,6,3,1.0,240,60,120,19,127,95.54502854703088,79.99255559735013,"[85.89861323117613, 63.91688331200653, 83.29532919570379, 79.63187772485757]",78.185675865936,8.533579271242893,73.91888623031456
inside_only,ARX_na12_nb3_nk3_alpha0.1,12,3,3,0.1,240,60,60,19,70,95.4005601974613,76.74484618681208,"[73.36626024196879, 71.26544535771413, 81.01493315417103, 77.45882789296142]",75.77636666170385,3.756004481357855,73.89836442102492
