candidate_id,order,na,nb,nk,residual_model,shrink,train_seconds,arx_val_FIT_sim,arx_test_FIT_sim,val_FIT_sim,val_RMSE_sim,test_FIT_sim,test_RMSE_sim,test_Bias_sim
8,"(5,1,2)",5,1,2,random_forest_leaf5,0.6,22.668358325958252,68.84107198659018,66.41757488973361,71.00450200629093,0.870532619965444,68.93715317461017,0.9048207443085925,-0.013162350197860244
22,"(1,3,2)",1,3,2,hgb_31,1.0,1.1886863708496094,68.2398097308059,66.16944624211062,71.00430971825074,0.870523757374322,69.04368946002863,0.901696219544725,-0.09011589610638003
2,"(1,5,2)",1,5,2,hgb_31,0.8,2.703892946243286,68.95594283365008,66.83374279146224,70.99473979521663,0.8708367468039016,69.14352712528982,0.8988302614187575,-0.049048235283216696
10,"(2,5,2)",2,5,2,hgb_31,1.0,1.3336093425750732,68.79523200462317,66.40197582319377,70.97987443191055,0.8712830556640924,68.90404630736762,0.9058061917868133,-0.06703894819464258
14,"(5,3,2)",5,3,2,hgb_31,1.0,2.144958257675171,68.78755294643855,66.49222223827536,70.97761688930545,0.8713397925593596,69.28657458566734,0.8946425483754478,-0.03742063775611556
7,"(5,1,2)",5,1,2,extra_trees_leaf5,1.0,4.235193490982056,68.84107198659018,66.41757488973361,70.97087911900654,0.8715420808191546,69.1065465648997,0.899886532890551,-0.025103203024193062
14,"(5,3,2)",5,3,2,hgb_31,0.8,2.144958257675171,68.78755294643855,66.49222223827536,70.96934761228026,0.8715880612869915,69.18467161966042,0.8976108506069825,-0.026995528840129616
6,"(5,1,2)",5,1,2,hgb_31,0.8,1.272641658782959,68.84107198659018,66.41757488973361,70.95030930095024,0.8721596490226272,68.9534470161048,0.9043461256790873,-0.05773784141713073
6,"(5,1,2)",5,1,2,hgb_31,1.0,1.272641658782959,68.84107198659018,66.41757488973361,70.94429365019882,0.8723402570677298,69.02551356197046,0.9022469199611937,-0.074762980025488
22,"(1,3,2)",1,3,2,hgb_31,0.8,1.1886863708496094,68.2398097308059,66.16944624211062,70.93550442082088,0.8725894659490752,69.02223102469395,0.9023212614079548,-0.06626041372050467
3,"(1,5,2)",1,5,2,extra_trees_leaf5,1.0,4.634199857711792,68.95594283365008,66.83374279146224,70.93533874308028,0.8726201687981858,69.31139251586328,0.8939404448313287,-0.003926009155254896
10,"(2,5,2)",2,5,2,hgb_31,0.8,1.3336093425750732,68.79523200462317,66.40197582319377,70.92387402728978,0.8729643786322484,68.84730519103522,0.9074590259468726,-0.048819291476923835
15,"(5,3,2)",5,3,2,extra_trees_leaf5,0.6,5.011077642440796,68.78755294643855,66.49222223827536,70.90874734367101,0.8734074647893721,69.02299216948688,0.9023203648787345,-0.0005907887850897449
24,"(1,3,2)",1,3,2,random_forest_leaf5,0.6,20.510611057281494,68.2398097308059,66.16944624211062,70.89996039231214,0.8736565873367361,69.17632938433455,0.8978326803754526,0.011913855981817436
28,"(3,1,2)",3,1,2,random_forest_leaf5,0.6,19.92732548713684,68.17677007356254,65.87835493837217,70.89041693424035,0.873923042338814,68.99021455993027,0.9032330360599785,0.008072453622481634
20,"(1,1,2)",1,1,2,random_forest_leaf5,0.6,22.62343192100525,68.25214916263313,66.26345701580551,70.88580693307543,0.874040677493824,69.23320247260719,0.896136237002813,0.008358876318835076
32,"(2,1,2)",2,1,2,random_forest_leaf5,0.6,19.002824306488037,68.15954878440277,65.9516786753371,70.88549768953185,0.874049961331288,69.05737648831732,0.9012574731596982,0.0093753066622907
7,"(5,1,2)",5,1,2,extra_trees_leaf5,0.6,4.235193490982056,68.84107198659018,66.41757488973361,70.8463931308537,0.8752795270061173,68.87649482400454,0.906587643983051,-0.011593761581848522
3,"(1,5,2)",1,5,2,extra_trees_leaf5,0.6,4.634199857711792,68.95594283365008,66.83374279146224,70.84216415148047,0.8754175875305362,69.117760327875,0.8995808325339435,0.006072499532665243
11,"(2,5,2)",2,5,2,extra_trees_leaf5,0.6,4.320470571517944,68.79523200462317,66.40197582319377,70.83190158950016,0.8757257046108761,68.90054177282927,0.905908276743446,0.0030485780993985273
31,"(2,1,2)",2,1,2,extra_trees_leaf5,0.6,4.831399202346802,68.15954878440277,65.9516786753371,70.79310678169347,0.8768236398425113,69.03881982751076,0.9017979680282887,0.007930600582632983
18,"(1,1,2)",1,1,2,hgb_31,0.8,1.1913566589355469,68.25214916263313,66.26345701580551,70.79264012451651,0.8768376494135189,68.98222209535024,0.903446474951249,-0.07677009162576134
27,"(3,1,2)",3,1,2,extra_trees_leaf5,0.6,4.669594764709473,68.17677007356254,65.87835493837217,70.78529979239472,0.8770788516197704,68.98027673528453,0.9035224986086297,0.01106956128997395
2,"(1,5,2)",1,5,2,hgb_31,0.6,2.703892946243286,68.95594283365008,66.83374279146224,70.77818726605014,0.8773383916324626,68.89568654783598,0.9060497064903807,-0.03190612821686626
19,"(1,1,2)",1,1,2,extra_trees_leaf5,0.6,4.849416255950928,68.25214916263313,66.26345701580551,70.76109223259999,0.8777847524556959,69.22423102504067,0.896397545943257,0.004632032238388181
23,"(1,3,2)",1,3,2,extra_trees_leaf5,0.6,4.959019184112549,68.2398097308059,66.16944624211062,70.76045864458847,0.8778447816652271,69.14069576070511,0.8988706174924695,0.00683336102668396
30,"(2,1,2)",2,1,2,hgb_31,0.6,1.1354668140411377,68.15954878440277,65.9516786753371,70.75999440048115,0.8778177106052394,68.89420911512131,0.9060100053557223,-0.005540312996600211
14,"(5,3,2)",5,3,2,hgb_31,0.6,2.144958257675171,68.78755294643855,66.49222223827536,70.73989798428826,0.8784768336698389,68.85177287176892,0.9073077626298811,-0.01744985756892151
18,"(1,1,2)",1,1,2,hgb_31,1.0,1.1913566589355469,68.25214916263313,66.26345701580551,70.73979616680516,0.878424084197863,68.92664372302659,0.9050652912543925,-0.10414422627370888
6,"(5,1,2)",5,1,2,hgb_31,0.6,1.272641658782959,68.84107198659018,66.41757488973361,70.73800014347425,0.8785338125958936,68.65835178904322,0.9129418698004381,-0.04154021959882608
26,"(3,1,2)",3,1,2,hgb_31,0.6,1.1916775703430176,68.17677007356254,65.87835493837217,70.72261824590151,0.8789606665425777,68.83674555535988,0.9077031822726026,0.01175396185101091
